Date : 2023-04-24 07:54:42
Directory : c:\Users\finkelsteinc\Code\Github\itdepartment\client
Total : 95 files,  21146 codes, 66 comments, 165 blanks, all 21377 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src\data\global                                                                                      |          1 |          4 |          0 |          0 |          4 |
| src\data\header                                                                                      |          2 |         13 |          0 |          0 |         13 |
| src\data\home                                                                                        |          1 |          4 |          0 |          0 |          4 |
| src\data\home\head                                                                                   |          1 |          4 |          0 |          0 |          4 |
| src\data\programs                                                                                    |          1 |         13 |          1 |          1 |         15 |
| src\images                                                                                           |          4 |         33 |          0 |          4 |         37 |
| src\styles                                                                                           |         17 |      1,289 |         28 |         41 |      1,358 |
| src\styles (Files)                                                                                   |          1 |          2 |          0 |          1 |          3 |
| src\styles\about                                                                                     |          4 |        459 |          8 |          1 |        468 |
| src\styles\contact                                                                                   |          2 |         68 |          0 |          0 |         68 |
| src\styles\global                                                                                    |          5 |        407 |          2 |         38 |        447 |
| src\styles\global (Files)                                                                            |          3 |        241 |          0 |         38 |        279 |
| src\styles\global\header                                                                             |          2 |        166 |          2 |          0 |        168 |
| src\styles\home                                                                                      |          2 |        236 |         11 |          1 |        248 |
| src\styles\programs                                                                                  |          3 |        117 |          7 |          0 |        124 |
| src\videos                                                                                           |          1 |          1 |          0 |          0 |          1 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                             | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\.env                                           | Properties     |          1 |          0 |          0 |          1 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\README.md                                      | Markdown       |          3 |          0 |          1 |          4 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\package-lock.json                              | JSON           |     18,464 |          0 |          1 |     18,465 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\package.json                                   | JSON           |         50 |          0 |          1 |         51 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\README.md                               | Markdown       |          5 |          0 |          0 |          5 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\grassotechItLogo.svg                    | XML            |          9 |          0 |          1 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\index.html                              | HTML           |         59 |          0 |          3 |         62 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\public\manifest.json                           | JSON           |         20 |          0 |          1 |         21 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\App.js                                     | JavaScript     |         86 |          0 |          6 |         92 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\README.md                                  | Markdown       |          4 |          0 |          2 |          6 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\grassotechItLogo.svg         | XML            |          9 |          0 |          1 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logo.svg                     | XML            |          9 |          0 |          1 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logo_thick.svg               | XML            |          9 |          0 |          1 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logos\grassotechItLogo.svg   | XML            |          9 |          0 |          1 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logos\logo.svg               | XML            |          9 |          0 |          1 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logos\logo_main.svg          | XML            |          1 |          0 |          0 |          1 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\assets\images\logos\logo_thick.svg         | XML            |          9 |          0 |          1 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\README.md                       | Markdown       |          2 |          0 |          0 |          2 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\About.jsx                 | JavaScript JSX |         30 |          0 |          3 |         33 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\CarpenterTable.jsx        | JavaScript JSX |         36 |          0 |          4 |         40 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\RussellTable.jsx          | JavaScript JSX |         36 |          0 |          5 |         41 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\CarpenterInfo.jsx    | JavaScript JSX |         21 |          0 |          2 |         23 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\Curriculum.jsx       | JavaScript JSX |         29 |         31 |          2 |         62 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\RussellInfo.jsx      | JavaScript JSX |         29 |          0 |          3 |         32 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\Uniforms.jsx         | JavaScript JSX |         27 |          3 |          2 |         32 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\about\info\Videos.jsx           | JavaScript JSX |         15 |          0 |          2 |         17 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\contact\Contact.jsx             | JavaScript JSX |         19 |          0 |          3 |         22 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\contact\modules\ContactInfo.jsx | JavaScript JSX |         54 |          0 |          3 |         57 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\Header.jsx               | JavaScript JSX |         40 |          0 |          5 |         45 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\Layout.jsx               | JavaScript JSX |         32 |          0 |          2 |         34 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\global\NoPage.jsx               | JavaScript JSX |         12 |          0 |          2 |         14 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\home\Home.jsx                   | JavaScript JSX |         58 |          0 |          5 |         63 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\Programs.jsx           | JavaScript JSX |         25 |          0 |          3 |         28 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\modules\Card.jsx       | JavaScript JSX |         10 |          0 |          2 |         12 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Cirs.jsx         | JavaScript JSX |         39 |          0 |          4 |         43 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Cna.jsx          | JavaScript JSX |         25 |          0 |          4 |         29 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Cp.jsx           | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Csa.jsx          | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Css.jsx          | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Da.jsx           | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Isa.jsx          | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Ncsa.jsx         | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Sd.jsx           | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\Wd.jsx           | JavaScript JSX |         26 |          0 |          4 |         30 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\comps\Para.jsx   | JavaScript JSX |         11 |          0 |          2 |         13 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\cirs.json   | JSON           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\cna.json    | JSON           |         10 |          0 |          0 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\cp.json     | JSON           |          8 |          0 |          0 |          8 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\csa.json    | JSON           |         10 |          0 |          0 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\css.json    | JSON           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\da.json     | JSON           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\isa.json    | JSON           |         10 |          0 |          0 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\ncsa.json   | JSON           |         10 |          0 |          0 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\sd.json     | JSON           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\components\programs\pages\json\wd.json     | JSON           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\README.md                             | Markdown       |         35 |          0 |          0 |         35 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\contact\data.js                 | JavaScript     |         17 |          0 |          0 |         17 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\contact\data.json               | JSON           |         14 |          0 |          0 |         14 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\cards.js             | JavaScript     |          7 |          0 |          0 |          7 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\data.js              | JavaScript     |         19 |          0 |          0 |         19 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\curriculum\title.js             | JavaScript     |          7 |          0 |          0 |          7 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\nav\data.js                     | JavaScript     |          8 |          0 |          0 |          8 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\students\data.js                | JavaScript     |         22 |          3 |          2 |         27 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\uniforms\data.js                | JavaScript     |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\about\uniforms\layout.js              | JavaScript     |          4 |          0 |          0 |          4 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\components\Student.jsx                | JavaScript JSX |         12 |          0 |          2 |         14 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\contact\data.json                     | JSON           |          6 |          0 |          0 |          6 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\global\data.js                        | JavaScript     |          4 |          0 |          0 |          4 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\header\data.js                        | JavaScript     |          7 |          0 |          0 |          7 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\header\data.json                      | JSON           |          6 |          0 |          0 |          6 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\home\head\data.js                     | JavaScript     |          4 |          0 |          0 |          4 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\data\programs\data.js                      | JavaScript     |         13 |          1 |          1 |         15 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\images\README.md                           | Markdown       |          6 |          0 |          1 |          7 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\images\grassotechItLogo.svg                | XML            |          9 |          0 |          1 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\images\logo.svg                            | XML            |          9 |          0 |          1 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\images\logo_thick.svg                      | XML            |          9 |          0 |          1 |         10 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\index.js                                   | JavaScript     |         10 |          0 |          3 |         13 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\README.md                           | Markdown       |          2 |          0 |          1 |          3 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\about.scss                    | SCSS           |        290 |          2 |          1 |        293 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\media.scss                    | SCSS           |         74 |          6 |          0 |         80 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\teacherinfo.scss              | SCSS           |         44 |          0 |          0 |         44 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\about\uniforms.scss                 | SCSS           |         51 |          0 |          0 |         51 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\contact\contact.scss                | SCSS           |         27 |          0 |          0 |         27 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\contact\media.scss                  | SCSS           |         41 |          0 |          0 |         41 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\dark.scss                    | SCSS           |        173 |          0 |         35 |        208 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\header.scss           | SCSS           |        118 |          2 |          0 |        120 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\header\media.scss            | SCSS           |         48 |          0 |          0 |         48 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\uni.scss                     | SCSS           |         51 |          0 |          1 |         52 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\global\vars.scss                    | SCSS           |         17 |          0 |          2 |         19 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\home.scss                      | SCSS           |        143 |         11 |          0 |        154 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\home\media.scss                     | SCSS           |         93 |          0 |          1 |         94 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\media.scss                 | SCSS           |         11 |          0 |          0 |         11 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\pages.scss                 | SCSS           |         33 |          0 |          0 |         33 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\styles\programs\programs.scss              | SCSS           |         73 |          7 |          0 |         80 |
| c:\Users\finkelsteinc\Code\Github\itdepartment\client\src\videos\README.md                           | Markdown       |          1 |          0 |          0 |          1 |
| Total                                                                                                |                |     21,146 |         66 |        165 |     21,377 |
+------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
