Date : 2023-05-23 09:36:20
Directory : c:\Users\finkelsteinc\Code\Github\itdepartment\client\src
Total : 93 files,  3928 codes, 90 comments, 178 blanks, all 4196 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| SCSS           |         19 |      2,214 |         51 |         48 |      2,313 |
| JavaScript JSX |         33 |      1,027 |         16 |        107 |      1,150 |
| JavaScript     |         15 |        266 |         23 |         13 |        302 |
| CSV            |          1 |        193 |          0 |          1 |        194 |
| JSON           |         13 |        129 |          0 |          0 |        129 |
| XML            |          7 |         55 |          0 |          6 |         61 |
| Markdown       |          5 |         44 |          0 |          3 |         47 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         93 |      3,928 |         90 |        178 |      4,196 |
| . (Files)                                                                                                        |          3 |        131 |         19 |         11 |        161 |
| assets                                                                                                           |          7 |         55 |          0 |          6 |         61 |
| assets\images                                                                                                    |          7 |         55 |          0 |          6 |         61 |
| assets\images (Files)                                                                                            |          3 |         27 |          0 |          3 |         30 |
| assets\images\logos                                                                                              |          4 |         28 |          0 |          3 |         31 |
| components                                                                                                       |         43 |      1,120 |         16 |        105 |      1,241 |
| components (Files)                                                                                               |          1 |          2 |          0 |          0 |          2 |
| components\about                                                                                                 |          8 |        261 |          5 |         24 |        290 |
| components\about (Files)                                                                                         |          3 |        130 |          1 |         12 |        143 |
| components\about\info                                                                                            |          5 |        131 |          4 |         12 |        147 |
| components\contact                                                                                               |          2 |         73 |          0 |          6 |         79 |
| components\contact (Files)                                                                                       |          1 |         19 |          0 |          3 |         22 |
| components\contact\modules                                                                                       |          1 |         54 |          0 |          3 |         57 |
| components\feedback                                                                                              |          1 |         46 |          0 |          5 |         51 |
| components\global                                                                                                |          7 |        233 |         11 |         20 |        264 |
| components\global (Files)                                                                                        |          4 |        153 |          5 |         13 |        171 |
| components\global\settings                                                                                       |          3 |         80 |          6 |          7 |         93 |
| components\global\settings\modules                                                                               |          1 |          7 |          0 |          2 |          9 |
| components\global\settings\pages                                                                                 |          2 |         73 |          6 |          5 |         84 |
| components\home                                                                                                  |          1 |         85 |          0 |          5 |         90 |
| components\jobs                                                                                                  |         23 |        420 |          0 |         45 |        465 |
| components\jobs (Files)                                                                                          |          1 |         25 |          0 |          3 |         28 |
| components\jobs\modules                                                                                          |          1 |         10 |          0 |          2 |         12 |
| components\jobs\pages                                                                                            |         21 |        385 |          0 |         40 |        425 |
| components\jobs\pages (Files)                                                                                    |         10 |        271 |          0 |         38 |        309 |
| components\jobs\pages\comps                                                                                      |          1 |         11 |          0 |          2 |         13 |
| components\jobs\pages\json                                                                                       |         10 |        103 |          0 |          0 |        103 |
| data                                                                                                             |         19 |        405 |          4 |          7 |        416 |
| data (Files)                                                                                                     |          1 |         35 |          0 |          0 |         35 |
| data\about                                                                                                       |          9 |        113 |          3 |          2 |        118 |
| data\about\contact                                                                                               |          2 |         31 |          0 |          0 |         31 |
| data\about\curriculum                                                                                            |          3 |         33 |          0 |          0 |         33 |
